zip code,location,latitude,longitude
11369,POINT (-73.86067 40.76294),40.76294, -73.86067
11377,POINT (-73.93348 40.745148),40.745148, -73.93348
11239,POINT (-73.87661 40.6427),40.6427, -73.87661
10460,POINT (-73.883896 40.839478),40.839478, -73.883896
11374-2756,POINT (-73.861595 40.734768),40.734768, -73.861595
11411,POINT (-73.72694 40.69382),40.69382, -73.72694
11377,POINT (-73.89969 40.740078),40.740078, -73.89969
10452,POINT (-73.928764 40.829185),40.829185, -73.928764
11355,POINT (-73.83301 40.747833),40.747833, -73.83301
11435,POINT (-73.811005 40.69245),40.69245, -73.811005
11374-2756,POINT (-73.8686 40.73261),40.73261, -73.8686
11422,POINT (-73.736275 40.671085),40.671085, -73.736275
11375,POINT (-73.84565 40.740017),40.740017, -73.84565
111354,POINT (-73.84418 40.740692),40.740692, -73.84418
11374-2756,POINT (-73.8684 40.732822),40.732822, -73.8684
11411,POINT (-73.726875 40.69246),40.69246, -73.726875
11208,POINT (-73.872116 40.67798),40.67798, -73.872116
10454,POINT (-73.908455 40.806477),40.806477, -73.908455
11214,POINT (-73.997574 40.59455),40.59455, -73.997574
10454,POINT (-73.92934 40.812622),40.812622, -73.92934
11231,POINT (-74.0014 40.67578),40.67578, -74.0014
11422,POINT (-73.73351 40.673588),40.673588, -73.73351
10467,POINT (-73.86806 40.877796),40.877796, -73.86806
11205,POINT (-73.96058 40.702614),40.702614, -73.96058
11415,POINT (-73.82869 40.716557),40.716557, -73.82869
11357,POINT (-73.820435 40.789528),40.789528, -73.820435
10458,POINT (-73.879105 40.86804),40.86804, -73.879105
10462,POINT (-73.85004 40.827595),40.827595, -73.85004
10005,POINT (-74.01103 40.725937),40.725937, -74.01103
11370,POINT (-73.892136 40.766685),40.766685, -73.892136
10162,POINT (-73.94531 40.772327),40.772327, -73.94531
10029,POINT (-73.94403 40.78296),40.78296, -73.94403
11413,POINT (-73.75551 40.66584),40.66584, -73.75551
11236,POINT (-73.905975 40.650944),40.650944, -73.905975
11215,POINT (-73.9962 40.6665),40.6665, -73.9962
10460,POINT (-73.871864 40.853706),40.853706, -73.871864
11426,POINT (-73.73286 40.743477),40.743477, -73.73286
11360,POINT (-73.77179 40.744465),40.744465, -73.77179
11220,POINT (-74.02356 40.63932),40.63932, -74.02356
11358:11432,POINT (-73.81404 40.738842),40.738842, -73.81404
11432,POINT (-73.7994 40.717014),40.717014, -73.7994
11427,POINT (-73.757324 40.72662),40.72662, -73.757324
11207,POINT (-73.89907 40.676937),40.676937, -73.89907
11413,POINT (-73.74822 40.665848),40.665848, -73.74822
11365,POINT (-73.775475 40.743427),40.743427, -73.775475
11374-2756,POINT (-73.86316 40.73447),40.73447, -73.86316
11426,POINT (-73.72452 40.724552),40.724552, -73.72452
10454-4606,POINT (-73.92087 40.80543),40.80543, -73.92087
10032,POINT (-73.94505 40.843246),40.843246, -73.94505
11205,POINT (-73.96236 40.698544),40.698544, -73.96236
10032,POINT (-73.94539 40.841843),40.841843, -73.94539
10037:10454,POINT (-73.93144 40.81175),40.81175, -73.93144
10033,POINT (-73.92813 40.845467),40.845467, -73.92813
11426,POINT (-73.72269 40.734566),40.734566, -73.72269
11367,POINT (-73.83313 40.72823),40.72823, -73.83313
10035-3501,POINT (-73.93097 40.804012),40.804012, -73.93097
11224-4003,POINT (-73.9638 40.58425),40.58425, -73.9638
11236,POINT (-73.91276 40.646328),40.646328, -73.91276
11236,POINT (-73.88591 40.630577),40.630577, -73.88591
11375,POINT (-73.847336 40.72293),40.72293, -73.847336
11231,POINT (-73.99843 40.671585),40.671585, -73.99843
11368,POINT (-73.84603 40.741447),40.741447, -73.84603
11435,POINT (-73.80801 40.68714),40.68714, -73.80801
10031,POINT (-73.96149 40.81801),40.81801, -73.96149
11374-2756,POINT (-73.8614 40.734978),40.734978, -73.8614
10465,POINT (-73.825165 40.836502),40.836502, -73.825165
11364,POINT (-73.77041 40.744644),40.744644, -73.77041
11377,POINT (-73.90274 40.738495),40.738495, -73.90274
11367,POINT (-73.83302 40.72839),40.72839, -73.83302
10033,POINT (-73.92632 40.845024),40.845024, -73.92632
10461,POINT (-73.826515 40.856358),40.856358, -73.826515
10457,POINT (-73.89401 40.84353),40.84353, -73.89401
11374-2756,POINT (-73.86665 40.733376),40.733376, -73.86665
11364,POINT (-73.75549 40.761143),40.761143, -73.75549
11426,POINT (-73.72469 40.724495),40.724495, -73.72469
11433,POINT (-73.79117 40.702293),40.702293, -73.79117
10454-4606,POINT (-73.92927 40.809284),40.809284, -73.92927
11101,POINT (-73.93755 40.74886),40.74886, -73.93755
11103,POINT (-73.914406 40.770054),40.770054, -73.914406
10472,POINT (-73.87255 40.824574),40.824574, -73.87255
10472,POINT (-73.8699 40.835873),40.835873, -73.8699
11208,POINT (-73.866104 40.67624),40.67624, -73.866104
11436,POINT (-73.80186 40.674934),40.674934, -73.80186
11581-1017,POINT (-73.73096 40.677746),40.677746, -73.73096
11252,POINT (-74.01667 40.60307),40.60307, -74.01667
10040,POINT (-73.92824 40.857166),40.857166, -73.92824
11697,POINT (-73.9083 40.591755),40.591755, -73.9083
10451:10455,POINT (-73.93116 40.826523),40.826523, -73.93116
10467,POINT (-73.86472 40.87683),40.87683, -73.86472
11432,POINT (-73.8185 40.716133),40.716133, -73.8185
111354,POINT (-73.83727 40.74091),40.74091, -73.83727
10035,POINT (-73.93431 40.81417),40.81417, -73.93431
11434,POINT (-73.76455 40.67151),40.67151, -73.76455
10458,POINT (-73.894066 40.86235),40.86235, -73.894066
11415,POINT (-73.82125 40.710247),40.710247, -73.82125
11367,POINT (-73.833725 40.729736),40.729736, -73.833725
11422,POINT (-73.73544 40.672688),40.672688, -73.73544
11368,POINT (-73.85887 40.73594),40.73594, -73.85887
10025,POINT (-73.97618 40.79672),40.79672, -73.97618
10452,POINT (-73.91762 40.841274),40.841274, -73.91762
10465,POINT (-73.82557 40.84211),40.84211, -73.82557
11374-2756,POINT (-73.85631 40.73632),40.73632, -73.85631
111354,POINT (-73.84002 40.763885),40.763885, -73.84002
10467,POINT (-73.87185 40.86507),40.86507, -73.87185
10453,POINT (-73.91566 40.851654),40.851654, -73.91566
10457,POINT (-73.90539 40.844753),40.844753, -73.90539
10454-2701,POINT (-73.911354 40.804993),40.804993, -73.911354
11422:11434,POINT (-73.82229 40.66484),40.66484, -73.82229
10035-3501,POINT (-73.93117 40.804066),40.804066, -73.93117
10025,POINT (-73.97597 40.79653),40.79653, -73.97597
11375,POINT (-73.83846 40.726814),40.726814, -73.83846
11378,POINT (-73.91367 40.730442),40.730442, -73.91367
10314,POINT (-74.1294 40.608223),40.608223, -74.1294
11374-2756,POINT (-73.8507 40.737797),40.737797, -73.8507
10033,POINT (-73.930435 40.845882),40.845882, -73.930435
11415,POINT (-73.843155 40.709225),40.709225, -73.843155
11375,POINT (-73.84458 40.708004),40.708004, -73.84458
10035,POINT (-73.9383 40.787506),40.787506, -73.9383
11355,POINT (-73.82303 40.741394),40.741394, -73.82303
11235,POINT (-73.94712 40.584755),40.584755, -73.94712
11415,POINT (-73.84271 40.708374),40.708374, -73.84271
10035-3501,POINT (-73.93003 40.80119),40.80119, -73.93003
10452,POINT (-73.92068 40.84487),40.84487, -73.92068
11422,POINT (-73.72776 40.681473),40.681473, -73.72776
10451:10455,POINT (-73.93076 40.81766),40.81766, -73.93076
10027,POINT (-73.95402 40.811367),40.811367, -73.95402
11374-2756,POINT (-73.84899 40.738415),40.738415, -73.84899
11415,POINT (-73.82971 40.717014),40.717014, -73.82971
11435,POINT (-73.81082 40.692463),40.692463, -73.81082
10452,POINT (-73.92371 40.849236),40.849236, -73.92371
10038,POINT (-73.998116 40.708763),40.708763, -73.998116
10452,POINT (-73.92147 40.840286),40.840286, -73.92147
11368,POINT (-73.84573 40.741234),40.741234, -73.84573
10304,POINT (-74.09583 40.61074),40.61074, -74.09583
10029-6408,POINT (-73.93569 40.791405),40.791405, -73.93569
11235,POINT (-73.95736 40.583023),40.583023, -73.95736
11364,POINT (-73.7564 40.74947),40.74947, -73.7564
11211,POINT (-73.92793 40.728947),40.728947, -73.92793
10475,POINT (-73.81923 40.870777),40.870777, -73.81923
10461,POINT (-73.826004 40.846443),40.846443, -73.826004
11371,POINT (-73.87616 40.771576),40.771576, -73.87616
10314,POINT (-74.16239 40.607185),40.607185, -74.16239
11101,POINT (-73.94027 40.750965),40.750965, -73.94027
11432,POINT (-73.77772 40.722095),40.722095, -73.77772
11362,POINT (-73.74655 40.756096),40.756096, -73.74655
11426,POINT (-73.7258 40.741074),40.741074, -73.7258
11367,POINT (-73.81938 40.716312),40.716312, -73.81938
11224-4003,POINT (-73.98042 40.582977),40.582977, -73.98042
11211,POINT (-73.925964 40.731304),40.731304, -73.925964
10032,POINT (-73.94523 40.847897),40.847897, -73.94523
10474,POINT (-73.89029 40.820137),40.820137, -73.89029
11221,POINT (-73.92844 40.6952),40.6952, -73.92844
11251,POINT (-73.98091 40.696556),40.696556, -73.98091
11436,POINT (-73.80576 40.683094),40.683094, -73.80576
10463,POINT (-73.9097 40.8746),40.8746, -73.9097
11375,POINT (-73.84523 40.721985),40.721985, -73.84523
10162,POINT (-73.950066 40.767372),40.767372, -73.950066
10463,POINT (-73.89277 40.88814),40.88814, -73.89277
11415,POINT (-73.83983 40.709827),40.709827, -73.83983
11415,POINT (-73.84314 40.708324),40.708324, -73.84314
11374-2756,POINT (-73.87898 40.729176),40.729176, -73.87898
11220,POINT (-74.02136 40.637997),40.637997, -74.02136
10460,POINT (-73.88572 40.840153),40.840153, -73.88572
11422:11434,POINT (-73.811775 40.666573),40.666573, -73.811775
11214,POINT (-74.010056 40.60069),40.60069, -74.010056
10457,POINT (-73.90552 40.84492),40.84492, -73.90552
11374-2756,POINT (-73.85611 40.736534),40.736534, -73.85611
11231,POINT (-74.002235 40.678257),40.678257, -74.002235
10044,POINT (-73.95571 40.761272),40.761272, -73.95571
10454-4606,POINT (-73.92095 40.80534),40.80534, -73.92095
10029-6408,POINT (-73.94362 40.78318),40.78318, -73.94362
11239,POINT (-73.87859 40.638695),40.638695, -73.87859
11225,POINT (-73.957214 40.663517),40.663517, -73.957214
11101,POINT (-73.93385 40.7375),40.7375, -73.93385
10035,POINT (-73.93577 40.79149),40.79149, -73.93577
10460,POINT (-73.87369 40.836296),40.836296, -73.87369
11377,POINT (-73.89589 40.7432),40.7432, -73.89589
11234,POINT (-73.9086 40.593163),40.593163, -73.9086
11211,POINT (-73.94486 40.719864),40.719864, -73.94486
10451:10455,POINT (-73.93122 40.82802),40.82802, -73.93122
10026,POINT (-73.958206 40.800552),40.800552, -73.958206
11415,POINT (-73.81954 40.708504),40.708504, -73.81954
11205,POINT (-73.97644 40.696342),40.696342, -73.97644
10314,POINT (-74.14943 40.6229),40.6229, -74.14943
10475,POINT (-73.81512 40.887547),40.887547, -73.81512
10474,POINT (-73.89503 40.815525),40.815525, -73.89503
10472,POINT (-73.8736 40.830906),40.830906, -73.8736
10453,POINT (-73.90877 40.846874),40.846874, -73.90877
11235,POINT (-73.96386 40.584137),40.584137, -73.96386
112321,POINT (-74.00211 40.67693),40.67693, -74.00211
10460,POINT (-73.88418 40.839294),40.839294, -73.88418
10475,POINT (-73.81571 40.88473),40.88473, -73.81571
10453,POINT (-73.919106 40.852673),40.852673, -73.919106
11222,POINT (-73.939316 40.723347),40.723347, -73.939316
10462,POINT (-73.850266 40.830112),40.830112, -73.850266
11218,POINT (-73.974655 40.646515),40.646515, -73.974655
10453,POINT (-73.92165 40.851616),40.851616, -73.92165
11208,POINT (-73.87611 40.680454),40.680454, -73.87611
11226,POINT (-73.95803 40.64507),40.64507, -73.95803
10463,POINT (-73.89449 40.88742),40.88742, -73.89449
11208,POINT (-73.87058 40.67765),40.67765, -73.87058
11211,POINT (-73.951965 40.715176),40.715176, -73.951965
11214,POINT (-73.99743 40.594616),40.594616, -73.99743
11375,POINT (-73.851364 40.722572),40.722572, -73.851364
11231,POINT (-74.002975 40.680695),40.680695, -74.002975
10453,POINT (-73.91499 40.84525),40.84525, -73.91499
11208,POINT (-73.919106 40.66423),40.66423, -73.919106
10462,POINT (-73.869896 40.855972),40.855972, -73.869896
